EmployeeID,Benefits
77899,Gym
44972,Both
80280,Gym
7858,Gym
4222,Both
55736,Insurance
7858,Gym
83456,Gym
82810,Insurance
24393,Insurance
29215,Insurance
43811,Insurance
89742,Gym
64889,Gym
2676,Insurance
30155,Gym
25503,Gym
80280,Both
79650,Gym
34773,Both
12531,Both
53145,Gym
12531,Insurance
70201,Insurance
64302,Insurance
40622,Gym
69223,Gym
61040,Gym
53145,Gym
86413,Insurance
28490,Gym
43003,Insurance
80280,Both
88178,Gym
82419,Gym
90697,Both
78287,Insurance
64889,Insurance
51335,Insurance
64889,Insurance
47027,Both
78287,Gym
26376,Both
94648,Both
57392,Insurance
62503,Both
78287,Insurance
49788,Gym
2462,Gym
66421,Gym
29215,Both
32851,Gym
70201,Gym
2462,Gym
24858,Gym
12498,Gym
73994,Gym
82810,Both
53145,Both
26343,Insurance
55553,Gym
13973,Both
12531,Both
30970,Both
30970,Insurance
76685,Gym
83456,Both
47027,Both
26343,Gym
49788,Insurance
66421,Insurance
43003,Both
28570,Both
55553,Insurance
51335,Both
55553,Gym
53469,Both
82810,Both
2676,Gym
43003,Insurance
55841,Both
64889,Both
32851,Insurance
30155,Insurance
99306,Gym
34773,Both
30828,Gym
38104,Both
70201,Both
49788,Insurance
35750,Both
9590,Gym
59968,Both
22891,Insurance
21351,Both
88178,Both
12531,Both
53469,Both
89742,Gym
30970,Both
