EmployeeID,Benefits
6984,Gym
835,Both
83175,Gym
56312,Gym
96991,Both
80811,Gym
80811,Gym
23996,Insurance
21480,Gym
37233,Both
835,Gym
98160,Gym
23996,Gym
41136,Both
7077,Insurance
4700,Gym
835,Both
91595,Both
21748,Gym
83175,Gym
78845,Insurance
52277,Both
96991,Insurance
96465,Both
86343,Both
44630,Insurance
64625,Insurance
94194,Insurance
41122,Insurance
68432,Insurance
65646,Insurance
80950,Insurance
72892,Insurance
98591,Both
71170,Gym
67357,Insurance
21138,Both
78845,Both
45512,Both
96606,Insurance
80950,Both
24935,Both
71170,Gym
233,Insurance
21138,Both
14893,Both
5175,Gym
17882,Insurance
19631,Both
96465,Gym
8004,Gym
56479,Gym
81004,Insurance
96606,Both
50075,Insurance
4700,Insurance
41136,Gym
32687,Both
79466,Gym
49851,Insurance
32687,Both
10404,Insurance
19631,Both
22953,Both
56312,Gym
72892,Both
4700,Gym
72892,Both
10568,Insurance
65224,Both
31857,Gym
83175,Gym
35284,Gym
71790,Gym
32687,Insurance
33776,Both
49851,Gym
56479,Both
31589,Gym
52277,Both
80950,Gym
4700,Insurance
31857,Gym
94136,Insurance
56312,Gym
849,Both
22478,Both
15105,Both
65646,Gym
23935,Insurance
21513,Gym
94136,Gym
33394,Insurance
21748,Both
15828,Both
50075,Gym
65927,Gym
24935,Both
98591,Insurance
30450,Both
