ContractID,EmployeeID
29503,14893
94501,79446
34019,17882
40440,14893
4364,78845
98849,94194
16607,65927
56931,69600
12196,61976
80328,82089
93258,71170
91626,80950
71892,7077
90452,35284
2175,23996
70447,22478
54655,98591
91319,10404
91707,33776
1608,56312
84275,14893
68840,83772
59962,14893
88776,27052
22207,56312
76428,4700
62873,82393
34698,77319
99525,71170
16095,35175
70466,11894
8678,44630
69841,23935
44720,849
6933,41122
53375,40002
27209,64625
54295,21513
24749,38262
82966,11081
1160,87818
19951,64625
50868,83772
3740,86343
50487,71170
8464,69600
81901,65927
6624,4700
10828,45512
23802,98591
91371,37233
45361,22478
45408,72708
29522,21138
9039,94194
97273,80950
62066,98160
39762,83175
15468,38169
51287,38262
87654,15105
80686,835
28299,31857
89670,69600
36208,61976
18439,11894
24583,40002
55808,29379
66296,79466
5259,24935
17270,79466
62682,11081
82912,69600
4483,33776
6438,33776
79820,83772
4470,99795
70476,44630
12930,88030
31079,10568
96587,31589
52304,88030
31685,5175
91231,96465
79416,96465
868,37233
92063,64625
38386,84775
27292,7077
7781,45512
22966,21138
21350,32687
20027,65646
86073,64625
81700,27052
20872,15828
98475,41136
34365,91595
39027,97831
1702,99156
