EmployeeID,PayrollDate,SalaryAmount
89226,2025-01-18,87007
75966,2025-02-10,79866
65184,2025-01-13,27765
55937,2025-02-04,70528
39687,2025-01-28,72012
21760,2025-02-14,77708
3043,2025-02-15,69343
3594,2025-03-03,34853
66235,2025-02-06,26965
35219,2025-02-07,30989
38238,2025-01-20,59273
39576,2025-02-03,98016
47152,2025-02-01,49433
53611,2025-02-22,78189
62229,2025-01-21,56937
67272,2025-01-15,4692
47743,2025-01-28,24664
26459,2025-02-03,78044
16640,2025-02-04,5825
92924,2025-01-17,21596
84198,2025-01-19,58164
37145,2025-01-31,94043
60973,2025-02-20,40709
9277,2025-02-25,32906
99640,2025-03-03,25184
56207,2025-01-11,23684
46206,2025-01-17,59926
14602,2025-01-20,70333
3043,2025-02-11,94561
47152,2025-01-20,30552
35501,2025-01-04,29888
62887,2025-01-17,39432
17958,2025-02-11,34063
24433,2025-02-21,66914
75538,2025-02-25,61621
75538,2025-02-18,56481
90822,2025-01-04,30050
72815,2025-01-13,42870
67272,2025-02-05,65231
89895,2025-02-09,38338
26459,2025-03-04,76785
35219,2025-02-02,19832
17061,2025-01-20,66604
1254,2025-03-02,75982
74235,2025-01-04,85174
46206,2025-02-28,32076
22023,2025-03-03,7867
17958,2025-01-09,89925
50564,2025-02-08,66321
67775,2025-02-05,63499
68944,2025-01-08,91097
99508,2025-01-12,7039
49303,2025-02-15,5123
99640,2025-02-19,35669
15399,2025-01-24,51776
56207,2025-01-06,30923
28185,2025-03-02,65054
62887,2025-02-08,2268
35240,2025-01-31,51807
46223,2025-02-05,41660
75157,2025-03-02,29338
62229,2025-01-26,85687
3938,2025-01-21,49525
39739,2025-01-21,22169
41525,2025-01-15,99387
11215,2025-01-15,72140
58985,2025-02-01,15558
41525,2025-02-02,52618
62887,2025-01-31,26914
42023,2025-01-19,4086
19085,2025-01-29,53250
39576,2025-01-02,81644
69013,2025-01-24,42162
58985,2025-01-19,6388
65721,2025-02-27,11340
22656,2025-01-14,60263
89246,2025-01-23,43810
16640,2025-02-20,82667
75157,2025-02-19,66012
65721,2025-01-27,96758
39576,2025-02-04,74400
24433,2025-01-19,2330
89895,2025-01-07,56576
75538,2025-02-02,59194
40662,2025-02-27,18876
3825,2025-02-06,79715
4881,2025-02-27,58863
1641,2025-01-31,56578
50564,2025-02-01,40255
43520,2025-01-15,44270
81720,2025-02-09,8573
5929,2025-02-06,40479
99508,2025-01-24,77259
67775,2025-02-08,6692
67272,2025-01-24,14945
19085,2025-02-06,9530
76358,2025-02-16,61258
15399,2025-01-03,37031
39687,2025-02-22,93227
38238,2025-01-19,95433
