DepartmentID,DepartmentName,NumberOfEmployees
708,"Jennings, Howard and Jackson",606
159,Dean Group,857
147,"Liu, Thompson and Jenkins",135
404,Robinson LLC,740
911,"Robles, Franklin and Fritz",797
613,"Hancock, Best and Ramirez",395
709,Sullivan-Davis,636
44,"House, Smith and Taylor",888
432,Allen and Sons,423
249,"Brown, Hudson and Davila",462
36,"Brown, Martinez and Mosley",714
557,"Ortiz, Johnson and Stephens",207
686,"Crawford, Arroyo and Chandler",772
889,"Moore, Edwards and Beard",848
118,"Brooks, Hernandez and Vargas",32
396,Hawkins LLC,178
334,Robinson-Adams,501
253,"Morris, Lopez and Smith",50
940,"Mora, Wyatt and Leonard",236
817,"Richardson, Brewer and Olsen",330
816,Townsend Inc,589
92,Martin-Bryant,904
596,Anthony Group,344
21,"Lee, Hawkins and Taylor",255
732,"Davis, Taylor and Quinn",165
717,Dixon-Miller,371
307,"Vaughan, Saunders and Frazier",146
331,King-Johnson,770
691,Fuentes Group,654
279,"Young, Collier and Pennington",125
503,Ross-Morris,435
847,"Young, Rogers and Hood",537
643,Harris-Beasley,940
204,"Ortiz, Fowler and Rodriguez",50
864,Ramirez-Chase,574
311,"Guerrero, Thompson and Wolf",627
638,"Hernandez, Flores and Alvarado",734
543,Schmitt LLC,297
450,Houston-Powers,380
948,"James, Phillips and Mcclure",802
827,"Crawford, Henson and Odom",248
905,Johnson-Banks,199
138,Howell-Williams,875
70,"Cooper, Ward and Bell",843
854,Crawford-Delgado,329
793,Lucas-Peters,938
720,Myers and Sons,88
662,"King, Lester and Kemp",944
351,"Villa, Olson and Flynn",671
624,Horton Group,928
264,Pacheco Group,589
904,House-Watson,671
514,Hamilton-Lewis,423
521,"Smith, Rich and Adams",222
871,Garcia-Garcia,368
133,Mills LLC,337
418,Holloway Inc,351
343,Lewis Ltd,684
710,May LLC,467
425,Mendoza-Ward,830
131,Foster and Sons,700
462,"Mccormick, Choi and Lewis",434
212,Simon and Sons,690
222,"Hall, Arnold and Wilson",554
489,"Baker, Long and Howard",302
801,Turner-Hanson,209
537,Stevens Inc,49
375,"Martinez, Scott and Green",386
595,"Jones, Perez and Burke",742
891,"Flynn, Graham and Blair",553
37,Frazier-Flores,109
527,"Gonzalez, Payne and Francis",137
350,Guerra and Sons,176
100,Wells Group,155
812,Cordova-Cortez,491
317,"Hicks, Rivas and Bennett",426
23,"Le, Horne and Turner",393
670,Davis PLC,775
838,"Nguyen, Lopez and Cortez",421
258,Johnson-Chen,189
614,Sheppard-Simon,287
199,Proctor Group,144
631,Alvarado PLC,213
663,James-Walker,978
186,Martinez Ltd,942
659,"Miller, Harrell and Castaneda",640
203,Williamson-Fields,460
498,"Smith, Hansen and Reed",972
445,Russell and Sons,519
246,Orr-Thompson,107
842,Howell Group,809
485,Church Group,170
934,Campbell LLC,464
322,Farmer-Cortez,195
787,Brown-Williams,407
75,Cruz and Sons,540
211,Davis-Jones,647
592,Allen-Williams,45
879,"Hernandez, Chapman and Hoffman",0
600,"Frazier, Hunt and Berry",152
