DepartmentID,DepartmentName,NumberOfEmployees
666,King PLC,381
359,Smith Inc,382
311,Haynes-Jones,906
320,"Romero, Flowers and Edwards",182
348,"Woodard, Garner and Leon",311
104,Silva-Perez,143
608,Lopez LLC,817
219,"Smith, Fernandez and Wang",952
159,Clark-Hardin,157
510,"Jones, Douglas and Johnson",843
643,Jimenez-Taylor,884
180,Medina-Griffin,898
888,"Roy, Norman and Lynch",84
9,Becker and Sons,604
875,"Martinez, Davis and Rowe",851
41,"Hernandez, Dougherty and Patel",612
550,Nelson-Berry,891
658,Reid-Nelson,923
417,Garcia Ltd,610
802,Duke Ltd,825
763,Martinez PLC,291
164,"Montgomery, Peterson and Diaz",439
76,Haas-Chase,642
383,"Collins, Reed and Henson",775
296,Stanley Ltd,703
212,Lawrence LLC,81
60,Buckley PLC,942
999,"Griffith, Anderson and Lambert",805
179,Lyons-Scott,786
775,"Harris, Braun and Ray",218
507,"Jensen, Patrick and Green",494
250,Santos LLC,940
621,"Hughes, Guzman and Powell",967
138,Mitchell Ltd,991
835,Holmes Group,725
430,Leach Inc,53
29,Green Inc,937
907,Johnson LLC,975
956,Sandoval PLC,806
182,Ruiz PLC,604
329,Kidd Ltd,803
254,"Hall, Quinn and David",88
200,"Simpson, Cox and Craig",549
81,Johnson-Lopez,329
942,Crawford-Baker,662
515,Orozco Ltd,407
122,Vargas-Carroll,715
210,Adams-Lucas,53
237,Rose-Palmer,39
954,"Henry, Alvarado and Parker",754
846,"Miller, Harris and Harris",884
596,Gonzales Group,786
985,Ray-Torres,251
282,Potts Group,383
400,Colon-Williams,113
729,"Johnson, Thompson and Ford",467
568,Joseph LLC,675
672,Wilkerson Group,681
502,Johnson-Higgins,9
720,"Ross, Thomas and Avery",828
751,Calderon-Turner,469
699,"West, Smith and Arias",773
349,Banks-Luna,8
28,"Johnson, Cannon and Young",501
616,Leach-Kirby,682
569,King-Burnett,712
776,Rosales-Lucero,272
293,Nicholson-Davis,306
995,Gonzalez-Hancock,67
21,"Montgomery, Anderson and Murray",498
573,"Campbell, Rodriguez and Williams",184
156,Woods-Welch,67
549,"Grimes, Hobbs and Walker",313
352,Allen-Brennan,124
150,"Vega, Lopez and Hill",854
354,Hickman-Owens,123
687,Yates-Jensen,954
758,Wilson-Taylor,958
172,Wagner Group,679
822,Bolton-Patton,291
645,Howard-Evans,796
726,Smith Ltd,705
127,"Blair, King and Cochran",66
711,"Stanley, Park and Smith",731
509,Arnold Inc,558
313,Sparks Inc,550
271,"Brown, Olson and Daniel",788
106,"Steele, Meyers and Murray",451
216,"Perez, Boone and Gonzalez",61
663,Copeland LLC,322
357,"Waters, Murray and Fields",356
166,"Myers, Carpenter and Cline",615
527,Leonard PLC,249
710,"Andrade, Daugherty and Garcia",271
997,"Johnson, Smith and Weaver",643
292,"Parker, Moore and Pugh",802
619,Vega PLC,750
197,Howe LLC,543
427,Gaines-Brooks,753
688,"Terry, Booth and Butler",873
