EmployeeID,PayrollDate,SalaryAmount
22891,2025-02-06,4559
79650,2025-01-28,65051
49788,2025-02-27,21905
34842,2025-01-10,93380
47166,2025-01-08,63305
37055,2025-01-18,19029
53145,2025-01-27,67286
7858,2025-02-17,69799
15371,2025-01-07,76132
70201,2025-02-05,30220
73994,2025-01-24,79185
79650,2025-01-09,39125
99306,2025-01-05,19310
30970,2025-01-06,34202
9590,2025-01-22,67208
82810,2025-01-25,57486
82419,2025-02-26,98617
37055,2025-01-31,81493
7858,2025-02-01,52588
53469,2025-02-12,36411
64302,2025-01-25,33907
77046,2025-02-12,11389
12498,2025-01-12,34829
77046,2025-01-16,14285
35750,2025-02-23,96664
35854,2025-03-01,59014
62503,2025-01-21,77281
40787,2025-02-25,95729
76685,2025-01-19,80668
64302,2025-02-17,74189
15371,2025-02-17,49175
85178,2025-01-22,5601
30970,2025-02-04,11944
773,2025-02-18,9822
96340,2025-01-13,17621
34842,2025-01-09,97513
29278,2025-01-26,59356
29215,2025-03-02,23167
55553,2025-01-29,49802
89742,2025-02-23,72727
55736,2025-02-10,39428
82419,2025-03-02,98374
15371,2025-02-21,80549
29215,2025-01-09,79339
35854,2025-01-24,90581
26797,2025-01-25,39507
28291,2025-02-27,69433
78287,2025-01-21,22277
82419,2025-01-18,64156
55736,2025-01-17,67199
25503,2025-01-29,71453
62503,2025-02-22,23844
84580,2025-01-13,58005
773,2025-02-20,18259
79650,2025-02-25,96270
26623,2025-01-11,92857
77899,2025-03-01,59296
13973,2025-02-04,67633
57392,2025-02-25,80274
61040,2025-01-12,23495
65183,2025-02-20,33139
43003,2025-01-07,51739
34804,2025-01-23,45594
82810,2025-03-03,40038
81405,2025-01-01,97064
84580,2025-01-16,13016
49788,2025-01-25,1172
30828,2025-02-23,55106
55553,2025-01-31,46703
49788,2025-01-15,89744
53378,2025-02-19,54898
15371,2025-02-18,88546
47166,2025-01-05,35872
28570,2025-01-17,67091
61040,2025-02-05,29310
29278,2025-01-04,15881
30970,2025-01-23,38414
28490,2025-01-30,86740
43811,2025-01-21,93837
34804,2025-01-06,66749
77899,2025-01-18,24649
79650,2025-02-02,38943
33613,2025-02-17,93917
9590,2025-01-07,70909
35854,2025-02-17,82506
44972,2025-01-20,30157
77499,2025-01-08,14538
13973,2025-02-17,90131
96535,2025-01-01,17976
26093,2025-02-22,83392
26093,2025-02-04,15743
89622,2025-02-28,26971
84580,2025-02-23,7139
12531,2025-02-27,3519
2462,2025-02-13,19943
37315,2025-03-02,68789
99306,2025-01-15,19722
29215,2025-02-26,45162
60483,2025-02-12,24314
4222,2025-02-06,48637
