EmployeeID,PayrollDate,SalaryAmount
84775,2025-01-31,55771
11894,2025-01-31,6483
31589,2025-02-19,52495
23996,2025-02-17,78384
80950,2025-02-08,59352
99156,2025-01-05,93772
6984,2025-02-28,80670
45512,2025-01-30,39427
87818,2025-02-08,9593
96606,2025-02-22,40072
8004,2025-01-31,2507
69600,2025-01-14,14495
11894,2025-01-03,67271
31857,2025-01-13,48096
65224,2025-01-05,64496
88030,2025-02-18,91545
21138,2025-01-05,83002
23996,2025-02-12,99734
21480,2025-01-23,8433
44630,2025-02-08,77625
51434,2025-01-17,18015
29379,2025-01-16,36896
91043,2025-01-20,34789
41136,2025-01-23,7507
6560,2025-01-12,35489
50075,2025-01-01,83165
80811,2025-01-08,56202
27052,2025-01-27,52532
86343,2025-02-20,10477
37233,2025-01-19,19908
80950,2025-02-27,93559
87818,2025-02-15,622
61976,2025-01-27,75478
32687,2025-01-14,69202
38169,2025-01-30,7571
99795,2025-02-01,2391
14893,2025-02-26,90558
40002,2025-03-02,5586
79466,2025-02-12,18221
38169,2025-02-15,48097
68432,2025-01-30,7382
835,2025-01-14,21281
80811,2025-02-26,14451
94136,2025-01-14,46512
65224,2025-02-22,56332
71170,2025-01-17,16547
41122,2025-02-01,89299
50075,2025-01-19,28289
73297,2025-02-13,84198
10193,2025-03-02,64531
94194,2025-01-08,56336
69600,2025-02-15,47646
23996,2025-02-24,87215
49851,2025-02-26,38304
72727,2025-01-08,20984
72892,2025-01-23,64887
27052,2025-02-03,70689
72708,2025-02-13,42916
50075,2025-01-27,53375
4700,2025-01-03,30940
56312,2025-03-02,48186
64625,2025-01-17,33662
61976,2025-02-06,91915
45512,2025-02-23,57413
82393,2025-01-09,57107
71170,2025-01-26,17267
73297,2025-01-03,89849
65224,2025-02-28,61333
11081,2025-02-28,31487
79446,2025-01-14,27474
15105,2025-01-21,10992
14893,2025-02-22,69097
69600,2025-01-27,18828
37233,2025-02-17,1750
38169,2025-01-08,23960
11081,2025-03-01,97107
52213,2025-02-10,35783
79446,2025-02-09,34816
29379,2025-02-17,32617
65927,2025-01-02,24122
11081,2025-01-10,2419
67357,2025-01-09,73607
82089,2025-01-05,38234
17882,2025-01-11,92094
82393,2025-01-05,54128
27052,2025-01-30,42003
44630,2025-01-26,50431
79466,2025-01-29,49381
22478,2025-02-13,81215
72892,2025-02-27,76894
35175,2025-01-04,86335
73297,2025-02-21,76911
14893,2025-03-03,54591
33776,2025-02-21,96577
40002,2025-01-27,23013
44630,2025-01-21,37285
51434,2025-01-19,87284
38169,2025-01-07,24881
7077,2025-02-19,13927
56312,2025-01-30,64585
